product_id,category_id
150249C,1
150247C,1
567723C,1
564143C,1
167677C,1
167678C,1
167596C,1
167592C,1
167593C,1
167645C,1
167642C,1
167830C,1
167827C,1
167826C,1
167702C,1
167910C,1
167911C,1
167915C,1
167912C,1
167708C,1
167709C,1
564981C,1
563456C,1
564982C,1
166324C,1
165907C,1
167297C,1
166804C,1
167854C,1
167853C,1
167866C,1
567686C,1
567685C,1
167673C,1
167669C,1
168293C,1
168279C,1
167622C,1
167621C,1
166709C,1
166708C,1
167235C,1
167633C,1
167819C,1
167821C,1
167935C,1
167631C,1
167629C,1
167817C,1
167936C,1
167937C,1
168133C,1
167805C,1
167804C,1
167707C,1
167706C,1
537081C,1
537084C,1
167813C,1
567847C,1
567865C,1
167810C,1
167811C,1
167812C,1
167862C,1
167701C,1
167703C,1
167700C,1
167239C,1
167238C,1
567855C,1
165024C,1
164301C,1
164300C,1
163407C,1
563457C,1
560251C,1
167643C,1
167646C,1
167647C,1
167644C,1
167750C,1
167749C,1
167324C,1
167966C,1
167963C,1
164057C,1
164056C,1
162054C,1
162063C,1
566751C,1
567157C,1
567311C,1
567155C,1
567309C,1
166810C,1
167291C,1
167292C,1
162350C,1
162351C,1
163343C,1
167322C,1
167323C,1
567992C,1
567991C,1
567101C,1
567100C,1
566766C,1
166838C,1
166839C,1
166713C,1
166712C,1
167058C,1
166809C,1
167071C,1
167061C,1
167072C,1
166861C,1
167970C,1
167971C,1
167347C,1
567143C,1
167345C,1
167346C,1
167067C,1
167068C,1
167069C,1
166813C,1
166812C,1
167237C,1
166854C,1
166853C,1
166855C,1
166725C,1
166726C,1
167043C,1
167044C,1
166749C,1
166747C,1
567105C,1
166745C,1
166744C,1
166740C,1
166741C,1
166703C,1
166702C,1
167106C,1
M9166C,1
167326C,1
167967C,1
166851C,1
166849C,1
166850C,1
166825C,1
166824C,1
166827C,1
166826C,1
167329C,1
167327C,1
167051C,1
166803C,1
M9696C,1
165742C,1
165741C,1
565062C,1
164225C,1
164224C,1
164952C,1
164947C,1
164950C,1
164945C,1
164951C,1
164946C,1
164949C,1
164944C,1
161577C,1
158369C,1
162065C,1
162056C,1
162062C,1
162053C,1
162058C,1
162050C,1
M5039C,1
M9697C,1
M7652C,1
M3310C,1
M9622C,1
M9621C,1
M7650C,1
M9160C,1
10018853-A02,2
10020856-A01,2
10020856-A02,2
10020849-A01,2
10019604-A02,2
10019604-A03,2
10019604-A01,2
10018841-A04,2
10018841-A03,2
10008476-A19,2
10018940-A01,2
10018940-A07,2
10017759-A04,2
10017759-A03,2
10019896-A03,2
10019896-A02,2
10019896-A01,2
10018568-A02,2
10018568-A01,2
10019895-A02,2
10019895-A01,2
10007887-A03,2
10020394-A01,2
10020394-A02,2
10018901-A01,2
10018896-A02,2
10018896-A01,2
10018969-A01,2
10018968-A01,2
10017263-A09,2
10018985-A01,2
10018468-A01,2
10018446-A03,2
10018973-A01,2
10018972-A01,2
10018975-A01,2
10018446-A01,2
10017263-A01,2
10017262-A01,2
10017261-A01,2
10017015-A02,2
10008476-A02,2
10008476-A01,2
10017015-A05,2
10007887-A04,2
10007887-A01,2
10008505-A01,2
10007784-A01,2
10008276-A01,2
10018334-A02,2
10018334-A01,2
10018446-A02,2
10000998-A22,2
10001016-A22,2
10018448-A01,2
10018457-A02,2
10018451-A01,2
10017895-A03,2
767576C,3
3J235C,3
3J256C,3
3J236C,3
3J232C,3
3J253C,3
3J231C,3
767559C,3
767560C,3
667557C,3
667558C,3
767899C,3
767531C,3
768147C,3
768146C,3
368145C,3
368144C,3
663635C,3
767338C,3
766892C,3
766889C,3
767205C,3
767203C,3
866933C,3
865158C,3
865160C,3
865157C,3
865156C,3
763537C,3
763536C,3
663634C,3
